StationName,lon,lat,Dist,Region
National Achives-Accra,-0.2078,5.5612,Ga Central,Greater Accra
ATTC- Nkrumah Circle,-0.2084,5.5742,Ga Central,Greater Accra
Abakoase,-0.6333,6.4167,Atiwa East,Eastern
Abamkrome,-0.65,5.8167,Prestea-Huni Valley,Western
Abenase,-1.05,6,Akyemansa,Eastern
Abesewa Gyaman,-2.0167,5.8167,Wassa Amenfi East,Western
Abetifi,-0.7472,6.6803,Kwahu East,Eastern
Abetifi,-0.7472,6.6803,Kwahu East,Eastern
Abetifi-Kwahu,-0.7472,6.6803,Kwahu East,Eastern
Aboantem,-1.4,7.1833,Ejura-Sekyedumase,Ashanti
Abofour,-1.7333,7.1333,Offinso,Ashanti
Abokobi,-0.2,5.7333,Ga East,Greater Accra
Abomosu,0,6,Shai Osudoku,Greater Accra
Abomosu,0,6,Shai Osudoku,Greater Accra
Abor,0.8667,6.05,Keta,Volta
Aboso,-1.9667,5.3667,Prestea-Huni Valley,Western
Aboso,-1.95,5.35,Prestea-Huni Valley,Western
Abra,-2.05,4.9,Ahanta West,Western
Abrafo-Odumase,-1.3833,5.3333,Twifo/Heman/Lower Denkyira,Central
Abrem Agona,-1.4333,5.1833,KEEA Municipal,Central
Abrumase,-1.0167,8.4833,East Gonja,Northern
Abura-Dunkwa,-1.1667,5.3333,Abura / Asebu / Kwamankese,Central
Aburi,-0.1743,5.8513,Akuapem South,Eastern
Aburi,-0.1667,5.85,Akuapem South,Eastern
Abutia Teti,0.3667,6.5167,Ho West,Volta
Accra,-0.45,5.5667,Awutu Senya East,Central
Accra Academy,-0.2445,5.5731,Accra Metropolitan,Greater Accra
Accra-Korle Bu,-0.2229,5.536,Ablekuma South Metropolitan,Greater Accra
Achiase,-1.9833,5.8333,Wassa Amenfi East,Western
Achichere,-2.3167,5.7167,Wassa Amenfi Central,Western
Achimota,-0.2167,5.6167,Ayawaso East,Greater Accra
Achimota,-0.2167,5.6167,Ayawaso East,Greater Accra
Ada,0.622,5.7777,Dangme East,Greater Accra
Adaklu Abalonu,0.6333,6.35,Adaklu,Volta
Adaklu Aboadi,0.5,6.5167,Adaklu,Volta
Adaklu Waya,0.6287,6.446,Adaklu,Volta
Adamanso,-2.1,5.6833,Wassa Amenfi East,Western
Adamso,-2.8,7.75,Jaman South,Bono
Adawso Akwapim,-0.2167,5.95,Akuapem North,Eastern
Adawso Kwahu,-0.5167,6.7,Kwahu South,Eastern
Adeiso,-0.4833,5.7833,Upper West Akim,Eastern
Adenta,-0.1833,5.7,Madina,Greater Accra
Adidome,0.5167,6.0667,Central Tongu,Volta
Adidome,0.5167,6.0667,Central Tongu,Volta
Adina,1.0833,6.0333,Ketu South,Volta
Adjuafua,-3.0167,6.5667,Bia West,Western
Adjum,-2.6333,5.6167,Aowin,Western
Adubia Manso,-1.95,6.4,Amansie West,Ashanti
Adubia Manso,-1.95,6.4,Amansie West,Ashanti
Adumadum,0.3833,7.7833,Krachie East,Volta
Aduman,0.3833,6,Dangme East,Greater Accra
Adumasa,0.0667,6.3667,Asuogyaman,Eastern
Adutor,0.7,5.95,South Tongu,Volta
Afiadenyigba,0.9833,6.0167,Keta,Volta
Afienya,0.0167,5.8,Ningo Prampram,Greater Accra
Afife-Weta,0.9167,6.0833,Ketu North,Volta
Aflao,1.1833,6.1167,Ketu South,Volta
Aflao,1.1871,6.117,Ketu South,Volta
Aframso No. 2,-1.25,7.2333,Sekyere Central,Ashanti
Agbagorme,0.7167,6.05,South Tongu,Volta
Agbosome,1.0333,6.0833,Ketu South,Volta
Agogo,-1.0833,6.7833,Asante Akim North,Ashanti
Agomeda,0.0167,5.9833,Shai Osudoku,Greater Accra
Agona Abodom,-0.8167,5.5333,Agona East,Central
Agona Ahanta,-1.9667,4.8833,Agona West,Central
Agona Ashanti,-1.4833,6.9333,Sekyere South,Ashanti
Agona Swedru,-0.7,5.5167,Agona West,Central
Agona Swedru,-0.7,5.5167,Agona West,Central
Agona Swedru,-0.7,5.5167,Agona West,Central
Aguna Amenfi,-2.3167,5.95,Wassa Amenfi Central,Western
Ahibenso,-2.7833,6.1167,Bodi,Western North
Ahunda Adaklu,0.55,6.3,Adaklu,Volta
Ajena New,0.05,6.3667,Asuogyaman,Eastern
Akaa,0.4,7.4333,Jasikan,Volta
Akatsi,0.8,6.1167,Akatsi South,Volta
Akatsi School,0.8008,6.1256,Akatsi South,Volta
Akim Akroso,-0.7667,5.7667,Asene Manso Akroso,Eastern
Akim Oda,-0.9833,5.9167,Birim Central,Eastern
Akim Oda,-0.9922,5.9685,Birim Central,Eastern
Akim Oda,-0.9784,5.9293,Birim Central,Eastern
Akokoa,-1.1667,7.5833,Atebubu-Amantin,Bono East
Akokoaso,-1.0667,6.15,Akyem Mansa,Eastern
Akorabo,-0.4,6.0167,Ayensuano,Eastern
Akosombo,0.05,6.3,Asuogyaman,Eastern
Akpafu Todzi,0.4833,7.25,Jasikan,Volta
Akplabanya,0.3833,5.7833,Ada West,Greater Accra
Akrofuom Assin,-1.2057,5.5833,Akrofuom,Ashanti
Akrokerri,-1.6333,6.3,Adansi North,Ashanti
Akrokerri,-1.65,6.2999,Adansi North,Ashanti
Akropong Akim,-0.65,6.2,Atiwa West,Eastern
Akropong Akwapim,-0.0833,5.9667,Akwapem North,Eastern
Akropong Akwapim,-0.0833,5.9667,Akwapem North,Eastern
Akropong Wassaw,-2.0833,5.7833,Akwapem North,Eastern
Akroso,1.3333,7.4,Asene Manso Akroso,Eastern
Akuma,-1.7167,7.4833,Ejura-Sekyedumase,Ashanti
Akumadan,-1.95,7.4,Offinso North,Ashanti
Akuse,0.1193,6.0945,Yilo Krobo,Eastern
Akwantambra,-2.8667,6.0333,Sefwi Akontombra,Western North
Alavanyo Abehenease,-0.4,7.1167,Kwahu Afram Plains South,Eastern
Amankwakrom,0.0167,7.05,Kwahu Afram Plains North,Eastern
Amankwakrom,0.0167,7.05,Kwahu Afram Plains North,Eastern 
Amate,-0.4167,6.6167,Fanteakwa North,Eastern 
Amedzofe,0.4333,6.85,Ho West,Volta 
Amedzofe,0.4333,6.85,Ho West,Volta 
Amelorkope,0.5833,6.1167,Central Tongu,Volta 
Amelorkope,0.5833,6.1167,Central Tongu,Volta 
Amentia,-1.1667,6.2167,Asante Akim South,Ashanti 
Amidoekor,0.4,6,Dangme East,Greater Accra
Amissano,-1.35,5.15,KEEA Municipal,Central 
Amoamang,-1.3167,7.0833,Sekyere Central,Ashanti 
Ampaam New,-0.3333,6.6167,Kwahu South,Eastern
Ampenkro,-1.5167,5.4333,Twifo Hemang Lower Denkyira,Central 
Amrahia,0.1333,5.7667,Ningo/ Prampram,Greater Accra
Ananikrom,-2.0667,6.0667,Wassa Amenfi East,Western 
Anfoega Akukome,0.2833,6.8833,North Dayi,Volta 
Angu,-1.7667,5.05,Mpohor,Western 
Ankaase,-1.3833,6.4667,Bosome Freho,Western 
Ankaful,-1.3667,5.1667,KEEA Municipal,Central 
Ankako,-1.45,5.3833,Twifo Hemang Lower Denkyira,Central 
Ankobra,-2.1167,5.45,Prestea- Huni Valley,Western 
Anloga,1.5561,6.3508,Anloga,Volta 
Antoakrom,-1.8,6.45,Amansie West,Ashanti 
Anum,0.15,6.5,Anum,Eastern 
Anyaboni New,-0.05,6.3667,Upper Manya,Eastern 
Anyako,0.9158,5.9833,Keta Municipal,Volta 
Anyinam,-0.55,6.3833,Atiwa East,Eastern 
Anyinasi,-2.4667,5.0333,Nzema East,Western 
Apam,-0.7333,5.2833,Gomoa West,Central 
Apam,-0.7333,5.2833,Gomoa West,Central 
Apedua,-0.5,6.1333,East Akim,Eastern 
Aperadi,-1.1,5.7833,Birim South,Eastern 
Apinamang,-0.7,6.0667,Kwaebibirem,Eastern 
Asafo Akim,-0.4667,6.1667,Abuakwa South,Eastern 
Asamama,-0.6667,6.3333,Atiwa West,Eastern 
Asamankese,-0.6667,5.8667,West Akim,Eastern 
Asamankese,-0.6667,5.8667,West Akim,Eastern 
Asankragwa,-2.4333,5.8,Amenfi West,Western 
Asankran Dunkwa,-2.5333,5.7667,Upper Denkyira East,Central 
Asante Krom (Dodi),0.15,6.5333,Asuogyaman,Eastern 
Asebu,-1.2167,5.2167,Abura Asebu Kwamankese,Central 
Asebu,-1.2167,5.2167,Abura Asebu Kwamankese,Central 
Asempaneye,-2.9167,6.5,Juaboso,Western North
Asesewa,-0.1333,6.3833,Upper Manya,Eastern 
Ashanti-Mampong,-1.4,7.0667,Mampong,Ashanti 
Ashanti-Mampong,-1.3998,7.0514,Mampong,Ashanti 
Ashiaman,-0.0333,5.6833,Ashaiman,Greater Accra
Ashiaman,-0.0333,5.6833,Ashaiman,Greater Accra
Asidowhui,0.65,5.9,South Tongu,Volta 
Assin Bereku,-1.35,5.8667,Assin North,Central 
Assin Darmang,-1.15,5.45,Assin South,Central 
Assin Foso,-1.2833,5.7667,Assin Fosu,Central 
Assin Manso,-1.1667,5.5167,Assin South,Central 
Assin Nyankumasi,-1.2833,5.75,Assin Nyankomase,Central 
Asuakaw,-2.6167,7.7333,Asuakaw,Bono
Asuansi,-1.2333,5.3,Abura Asebu Kwamankese,Central 
Asuboi,-0.4167,5.95,Suhum/Kraboa/Coaltar,Eastern 
Asunso,-2.8667,7.3833,Dormaa Municipal,Bono 
Asuom,-0.8833,6.2667,Kwaebibirem,Eastern 
Asutsuare,0.1833,6.0667,Asutuare,Greater Accra
