"StationName","ID","District","lon","lat","StartYear","EndYear","Type","% Available","% missing","Number of Years","% Available 2022","% missing 2022","Remarks"
"National Achives-Accra","23097ACC","Ga Central",-0.2078,5.5612,2002,2017,"Rainfall",68.7371663244353,31.2628336755647,14,52.3728813559322,47.6271186440678,""
"ATTC- Nkrumah Circle","23095ACC","Ga Central",-0.2084,5.5742,2006,2017,"Rainfall",13.8945927446954,86.1054072553046,3,9.80834272829763,90.1916572717024,""
"Abakoase","21063ABA","Atiwa East",-0.6333,6.4167,1972,1975,"Rainfall",70.9103353867214,29.0896646132786,5,5.5615202920335,94.4384797079665,""
"Abamkrome","23075ABA","Prestea-Huni Valley",-0.65,5.8167,1965,1970,"Rainfall",58.4208124144226,41.5791875855774,7,6.04229607250755,93.9577039274924,""
"Abenase","21000ABE","Akyemansa",-1.05,6,1939,1990,"Rainfall",42.6104354235771,57.3895645764229,30,26.3778885955477,73.6221114044523,""
"Abesewa Gyaman","18024ABE","Wassa Amenfi East",-2.0167,5.8167,1982,2008,"Rainfall",71.516933684851,28.483066315149,25,47.0984974958264,52.9015025041736,""
"Abetifi","14000ABE","Kwahu East",-0.7472,6.6803,1939,2017,"Rainfall",59.5910587419858,40.4089412580142,55,56.0444574818291,43.9555425181709,""
"Abetifi","14067ABE","Kwahu East",-0.7472,6.6803,1976,2023,"Synoptic",86.5959388546658,13.4040611453342,45,86.5959388546658,13.4040611453342,""
"Abetifi-Kwahu","14042ABE","Kwahu East",-0.7472,6.6803,1964,2018,"Climate",42.7149186121758,57.2850813878242,29,39.8190255220418,60.1809744779582,""
"Aboantem","14021ABW","Ejura-Sekyedumase",-1.4,7.1833,1965,2019,"Rainfall",78.1113102349661,21.8886897650339,51,74.0700528700906,25.9299471299094,""
"Abofour","17000ABO","Offinso",-1.7333,7.1333,1956,2002,"Rainfall",74.4276810159026,25.5723189840974,45,52.210689767898,47.789310232102,""
"Abokobi","23000ABO","Ga East",-0.2,5.7333,1956,2006,"Rainfall",43.1608331543912,56.8391668456088,26,32.8538738149722,67.1461261850278,""
"Abomosu","21035ABO","Shai Osudoku",0,6,1935,1961,"Agromet",12.9698002461422,87.0301997538578,4,4.17136071613434,95.8286392838657,""
"Abomosu","21035ABO","Shai Osudoku",0,6,1935,1961,"Rainfall",12.9698002461422,87.0301997538578,4,4.17136071613434,95.8286392838657,""
"Abor","23047ABO","Keta",0.8667,6.05,1953,1981,"Rainfall",92.5415407854985,7.45845921450152,30,38.3384832010013,61.6615167989987,""
"Aboso","18039ABO","Prestea-Huni Valley",-1.9667,5.3667,1939,1982,"Climate",88.9710199993092,11.0289800006908,40,59.1308739468791,40.8691260531209,""
"Aboso","18039ABO","Prestea-Huni Valley",-1.95,5.35,1939,1982,"Rainfall",88.9710199993092,11.0289800006908,40,59.1308739468791,40.8691260531209,""
"Abra","18025ABR","Ahanta West",-2.05,4.9,1961,2000,"Rainfall",33.9356605065024,66.0643394934976,22,21.8944579377346,78.1055420622654,""
"Abrafo-Odumase","23043ABR","Twifo/Heman/Lower Denkyira",-1.3833,5.3333,1963,1979,"Rainfall",73.0069254308262,26.9930745691738,18,20.684462696783,79.315537303217,""
"Abrem Agona","17004ABR","KEEA Municipal",-1.4333,5.1833,1954,1979,"Rainfall",81.3816343723673,18.6183656276327,26,30.6642329973812,69.3357670026188,""
"Abrumase","07001ABR","East Gonja",-1.0167,8.4833,1961,1964,"Rainfall",68.6516084873374,31.3483915126626,5,4.42923382645176,95.5707661735483,""
"Abura-Dunkwa","23003ABU","Abura / Asebu / Kwamankese",-1.1667,5.3333,1958,1989,"Rainfall",78.9014373716632,21.0985626283368,31,38.8441935891496,61.1558064108504,""
"Aburi","23029ABU","Akuapem South",-0.1743,5.8513,1891,2022,"Agromet",72.0037154989384,27.9962845010616,81,72.0037154989384,27.9962845010616,""
"Aburi","23029ABU","Akuapem South",-0.1667,5.85,1891,2022,"Climate",72.0037154989384,27.9962845010616,81,72.0037154989384,27.9962845010616,""
"Abutia Teti","07010ABU","Ho West",0.3667,6.5167,1954,1990,"Rainfall",77.7342015687435,22.2657984312565,33,41.6831997460519,58.3168002539481,""
"Accra","23088SFA","Awutu Senya East",-0.45,5.5667,1987,2017,"Rainfall",3.6827695840325,96.3172304159675,5,3.17134382842802,96.828656171572,""
"Accra Academy","23094ACC","Accra Metropolitan",-0.2445,5.5731,1963,2017,"Rainfall",32.5700632186769,67.4299367813231,22,29.8562628336756,70.1437371663244,""
"Accra-Korle Bu","23004KOR","Ablekuma South Metropolitan",-0.2229,5.536,1954,2017,"Rainfall",39.5704996577687,60.4295003422313,33,36.7034362352194,63.2965637647806,""
"Achiase","19049ACH","Wassa Amenfi East",-1.9833,5.8333,1939,2018,"Rainfall",74.0451745379877,25.9548254620123,63,70.5192138457026,29.4807861542974,""
"Achichere","16000ACH","Wassa Amenfi Central",-2.3167,5.7167,1956,2012,"Rainfall",28.5398655139289,71.4601344860711,24,24.2808107224583,75.7191892775417,""
"Achimota","23005ACH","Ayawaso East",-0.2167,5.6167,1936,1972,"Climate",92.770995190529,7.22900480947096,36,39.4562104666897,60.5437895333103,""
"Achimota","23082ACH","Ayawaso East",-0.2167,5.6167,1964,2018,"Climate",22.455074916621,77.544925083379,17,20.9327146171694,79.0672853828306,""
"Ada","23002ADA","Dangme East",0.622,5.7777,1950,2021,"Synoptic",94.6573883945547,5.34261160544528,72,93.3615872182425,6.63841278175749,""
"Adaklu Abalonu","15012ADA","Adaklu",0.6333,6.35,1955,1987,"Rainfall",66.8713183439808,33.1286816560192,28,32.4515843298305,67.5484156701695,""
"Adaklu Aboadi","07011ABO","Adaklu",0.5,6.5167,1955,1983,"Rainfall",79.0313444108761,20.9686555891239,26,33.7037484398277,66.2962515601723,""
"Adaklu Waya","15013WAY","Adaklu",0.6287,6.446,1955,1984,"Rainfall",85.5630589523636,14.4369410476364,30,37.7501308531626,62.2498691468374,""
"Adamanso","18001ADA","Wassa Amenfi East",-2.1,5.6833,1956,1964,"Rainfall",79.8661800486618,20.1338199513382,10,10.7306309251389,89.2693690748611,""
"Adamso","17002ADA","Jaman South",-2.8,7.75,1956,2021,"Rainfall",70.9047164723939,29.0952835276061,57,69.8471722785224,30.1528277214776,""
"Adawso Akwapim","14030AKW","Akuapem North",-0.2167,5.95,1956,1963,"Rainfall",84.2915811088296,15.7084188911704,9,10.0645635828702,89.9354364171298,""
"Adawso Kwahu","14001KWA","Kwahu South",-0.5167,6.7,1954,1980,"Rainfall",71.2532954775908,28.7467045224092,27,27.8827077216094,72.1172922783906,""
"Adeiso","22023ADE","Upper West Akim",-0.4833,5.7833,1939,1996,"Rainfall",60.1888128392731,39.8111871607269,43,41.5599230794303,58.4400769205697,""
"Adenta","23006ADE","Madina",-0.1833,5.7,1955,1964,"Rainfall",86.6137421297564,13.3862578702436,11,12.7390586624794,87.2609413375206,""
"Adidome","07030ADI","Central Tongu",0.5167,6.0667,1954,1975,"Rainfall",83.6341008089608,16.3658991910392,21,26.6645504325054,73.3354495674946,""
"Adidome","07062ADI","Central Tongu",0.5167,6.0667,1964,2022,"Agromet",76.3665893271462,23.6334106728538,52,76.3665893271462,23.6334106728538,""
"Adina","23000ADI","Ketu South",1.0833,6.0333,1955,1983,"Rainfall",87.0562688821752,12.9437311178248,28,37.1260619237428,62.8739380762572,""
"Adjuafua","10002AJU","Bia West",-3.0167,6.5667,1972,1978,"Rainfall",57.1372702385608,42.8627297614392,7,7.84303199484647,92.1569680051535,""
"Adjum","16013ADJ","Aowin",-2.6333,5.6167,1971,1985,"Rainfall",62.6574192370871,37.3425807629129,15,18.0750802927394,81.9249197072606,""
"Adubia Manso","17027ADU","Amansie West",-1.95,6.4,1955,2019,"Agromet",43.810286003117,56.189713996883,41,41.8770382896485,58.1229617103515,""
"Adubia Manso","17027EDU","Amansie West",-1.95,6.4,1976,2019,"Agromet",46.69902308506,53.30097691494,25,43.7175977165492,56.2824022834508,""
"Adumadum","07009ADU","Krachie East",0.3833,7.7833,1961,1980,"Rainfall",47.3921971252567,52.6078028747433,15,15.2881430779422,84.7118569220578,""
"Aduman","17049ADU","Dangme East",0.3833,6,1971,1983,"Rainfall",85.3411962931761,14.6588037068239,14,21.3341757489601,78.6658242510399,""
"Adumasa","14000ADU","Asuogyaman",0.0667,6.3667,1952,1981,"Rainfall",64.7472166453732,35.2527833546268,25,27.3589634828211,72.6410365171789,""
"Adutor","23018ADU","South Tongu",0.7,5.95,1963,1981,"Rainfall",65.014409221902,34.985590778098,20,20.5886379192334,79.4113620807666,""
"Afiadenyigba","23048AFI","Keta",0.9833,6.0167,1955,2019,"Rainfall",42.4160734594162,57.5839265405838,35,40.5443491565004,59.4556508434996,""
"Afienya","23071AFI","Ningo Prampram",0.0167,5.8,1964,2018,"Agromet",76.2108616655881,23.7891383344119,49,71.0440835266821,28.9559164733179,""
"Afife-Weta","23067AFI","Ketu North",0.9167,6.0833,1968,2013,"Agromet",79.0144030472563,20.9855969527437,41,66.0859176663846,33.9140823336154,""
"Aflao","23001AFL","Ketu South",1.1833,6.1167,1954,1974,"Rainfall",62.6857887874837,37.3142112125163,18,19.0778509642092,80.9221490357908,""
"Aflao","23002AFL","Ketu South",1.1871,6.117,1953,1985,"Rainfall",78.3041566415,21.6958433585,32,36.9147729495052,63.0852270504948,""
"Aframso No. 2","14019AFR","Sekyere Central",-1.25,7.2333,1964,1966,"Rainfall",49.1788321167883,50.8211678832117,4,2.50116009280742,97.4988399071926,""
"Agbagorme","15049AGB","South Tongu",0.7167,6.05,1955,1987,"Rainfall",83.5061810337675,16.4938189662325,33,40.5242179007126,59.4757820992874,""
"Agbosome","23003AGB","Ketu South",1.0333,6.0833,1953,1982,"Rainfall",78.8354476590307,21.1645523409693,31,33.7857394297336,66.2142605702664,""
"Agogo","20003AGO","Asante Akim North",-1.0833,6.7833,1935,2013,"Climate",79.1024085946976,20.8975914053024,69,71.0130047912389,28.9869952087611,""
"Agomeda","07021AGO","Shai Osudoku",0.0167,5.9833,1965,1984,"Rainfall",80.8213552361396,19.1786447638604,21,27.8700906344411,72.1299093655589,""
"Agona Abodom","23037AGO","Agona East",-0.8167,5.5333,1954,2005,"Rainfall",49.0338545780024,50.9661454219976,31,36.9534163955242,63.0465836044758,""
"Agona Ahanta","23004AGO","Agona West",-1.9667,4.8833,1955,2016,"Rainfall",37.4282433983927,62.5717566016073,32,34.1265048113701,65.8734951886299,""
