"Station","Start","End","Dist","Type"
"ATTC- Nkrumah Circle_23095ACC",2006,2017,"Ga Central","Rainfall"
"Abakoase_21063ABA",1972,1975,"Atiwa East","Rainfall"
"Abamkrome_23075ABA",1965,1970,"Prestea-Huni Valley","Rainfall"
"Abenase_21000ABE",1939,1990,"Akyemansa","Rainfall"
"Abesewa Gyaman_18024ABE",1982,2008,"Wassa Amenfi East","Rainfall"
"Abetifi-Kwahu_14042ABE",1964,2018,"Kwahu East","Climate"
"Abetifi_14000ABE",1939,2017,"Kwahu East","Rainfall"
"Abetifi_14067ABE",1976,2023,"Kwahu East","Synoptic"
"Aboantem_14021ABW",1965,2019,"Ejura-Sekyedumase","Rainfall"
"Abofour_17000ABO",1956,2002,"Offinso","Rainfall"
"Abokobi_23000ABO",1956,2006,"Ga East","Rainfall"
"Abomosu_21035ABO.1",1935,1961,"Shai Osudoku","Agromet"
"Abomosu_21035ABO.2",1935,1961,"Shai Osudoku","Rainfall"
"Abor_23047ABO",1953,1981,"Keta","Rainfall"
"Aboso_18039ABO.1",1939,1982,"Prestea-Huni Valley","Climate"
"Aboso_18039ABO.2",1939,1982,"Prestea-Huni Valley","Rainfall"
"Abra_18025ABR",1961,2000,"Ahanta West","Rainfall"
"Abrafo-Odumase_23043ABR",1963,1979,"Twifo/Heman/Lower Denkyira","Rainfall"
"Abrem Agona_17004ABR",1954,1979,"KEEA Municipal","Rainfall"
"Abrumase_07001ABR",1961,1964,"East Gonja","Rainfall"
"Abura-Dunkwa_23003ABU",1958,1989,"Abura / Asebu / Kwamankese","Rainfall"
"Aburi_23029ABU.1",1891,2022,"Akuapem South","Agromet"
"Aburi_23029ABU.2",1891,2022,"Akuapem South","Climate"
"Abutia Teti_07010ABU",1954,1990,"Ho West","Rainfall"
"Accra Academy_23094ACC",1963,2017,"Accra Metropolitan","Rainfall"
"Accra-Korle Bu_23004KOR",1954,2017,"Ablekuma South Metropolitan","Rainfall"
"Accra_23088SFA",1987,2017,"Awutu Senya East","Rainfall"
"Achiase_19049ACH",1939,2018,"Wassa Amenfi East","Rainfall"
"Achichere_16000ACH",1956,2012,"Wassa Amenfi Central","Rainfall"
"Achimota_23005ACH",1936,1972,"Ayawaso East","Climate"
"Achimota_23082ACH",1964,2018,"Ayawaso East","Climate"
"Ada_23002ADA",1950,2021,"Dangme East","Synoptic"
"Adaklu Abalonu_15012ADA",1955,1987,"Adaklu","Rainfall"
"Adaklu Aboadi_07011ABO",1955,1983,"Adaklu","Rainfall"
