"StationName","ID","District","lon","lat","StartYear","EndYear","Type","% Available","% missing","Number of Years","% Available 2022","% missing 2022","Remarks"
"Abetifi","14067ABE","Kwahu East",-0.7472,6.6803,1981,2023,"Synoptic",95.7274753263292,4.2725246736708,44,95.7274753263292,4.2725246736708,""
"Abetifi-Kwahu","14042ABE","Kwahu East",-0.7472,6.6803,1964,2018,"Climate",40.6292000597342,59.3707999402658,27,37.8747099767981,62.1252900232019,""
"Aboso","18039ABO","Prestea-Huni Valley",-1.9667,5.3667,1953,1969,"Climate",66.8509462045503,33.1490537954497,13,21.8606591572799,78.1393408427201,""
"Aboso","18039ABO","Prestea-Huni Valley",-1.95,5.35,1953,1969,"Rainfall",66.8509462045503,33.1490537954497,13,21.8606591572799,78.1393408427201,""
"Aburi","23029ABU","Akuapem South",-0.1743,5.8513,1979,2020,"Agromet",92.1293042867182,7.87069571328179,39,89.825282631038,10.174717368962,""
"Aburi","23029ABU","Akuapem South",-0.1667,5.85,1979,2020,"Climate",92.1293042867182,7.87069571328179,39,89.825282631038,10.174717368962,""
"Achimota","23005ACH","Ayawaso East",-0.2167,5.6167,1953,1972,"Climate",88.3641341546886,11.6358658453114,21,25.2473892126569,74.7526107873431,""
"Achimota","23082ACH","Ayawaso East",-0.2167,5.6167,1964,2018,"Climate",16.9197073025039,83.0802926974961,14,15.7726218097448,84.2273781902552,""
"Ada","23002ADA","Dangme East",0.622,5.7777,1951,2021,"Synoptic",95.7274515096595,4.27254849034048,71,94.3988135979922,5.60118640200776,""
"Adidome","07062ADI","Central Tongu",0.5167,6.0667,1964,2021,"Agromet",58.9143261741798,41.0856738258202,43,57.9164733178654,42.0835266821346,""
"Adubia Manso","17027ADU","Amansie West",-1.95,6.4,2011,2019,"Agromet",22.299969577122,77.700030422878,7,16.7237052247319,83.2762947752681,""
"Adubia Manso","17027EDU","Amansie West",-1.95,6.4,2002,2019,"Agromet",68.3602068755704,31.6397931244296,17,58.5919165580183,41.4080834419817,""
"Afienya","23071AFI","Ningo Prampram",0.0167,5.8,1964,2019,"Agromet",74.787327662071,25.212672337929,49,70.9837587006961,29.0162412993039,""
"Afife-Weta","23067AFI","Ketu North",0.9167,6.0833,1972,2012,"Agromet",81.4035790598291,18.5964209401709,39,65.4444921623363,34.5555078376637,""
"Agogo","20003AGO","Asante Akim North",-1.0833,6.7833,1963,2013,"Climate",93.8640755851407,6.13592441485935,52,79.7855350216746,20.2144649783254,""
"Agona Swedru","23038AGO","Agona West",-0.7,5.5167,1963,1970,"Climate",90.6980896268524,9.30191037314765,9,20.6554444173376,79.3445555826624,""
"Agona Swedru","23038AGO","Agona West",-0.7,5.5167,1963,1970,"Rainfall",90.6980896268524,9.30191037314765,9,20.6554444173376,79.3445555826624,""
"Agona Swedru","23066AGO","Agona West",-0.7,5.5167,1970,2022,"Climate",90.8719909081517,9.12800909184833,54,90.8719909081517,9.12800909184833,""
