"StationName","ID","District","lon","lat","StartYear","EndYear","Type","% Available","% missing","Number of Years","% Available 2022","% missing 2022","Remarks"
"Babile","01000BAB","Jirapa",-2.8167,10.5167,1948,2022,"Agromet",75.6041468934803,24.3958531065197,65,75.6041468934803,24.3958531065197,""
"Kintampo","01000KIN","Kintampo North Municipal",-1.7167,8.05,1955,2019,"Agromet",55.2588349269197,44.7411650730803,43,52.8203889358618,47.1796110641382,""
"Bui","01001BUI","Banda",-2.2667,8.2833,1954,2014,"Agromet",89.1606822262118,10.8393177737882,61,78.8231092770415,21.1768907229585,""
"Damongo","01001DAM","West Gonja",-1.8167,9.0667,1954,2019,"Rainfall",84.4821860619574,15.5178139380426,58,82.3415175475101,17.6584824524899,""
"Damongo","01001DAM","West Gonja",-1.8167,9.0667,1954,2019,"Climate",84.4821860619574,15.5178139380426,58,82.3415175475101,17.6584824524899,""
"Berekum","01005BER","Berekum Municipal",-2.5833,7.45,1956,2020,"Climate",92.5406452699857,7.45935473001433,66,89.7801569140242,10.2198430859758,""
"Mole","01007MOL","West Gonja",-2.038,9.5069,1973,1976,"Climate",65.6399726214921,34.3600273785079,5,5.25134158361625,94.7486584163837,""
"Wa","01013WA-","Wa Municipal",-2.5,10.05,1952,2022,"Synoptic",96.4832452859291,3.51675471407088,72,96.4832452859291,3.51675471407088,""
"Sampa","01014SAM","Sampa",-2.7,7.95,2002,2012,"Rainfall",86.411149825784,13.588850174216,12,45.2672750977836,54.7327249022164,""
"Sunyani","01017SUN","Sunyani Minicipal",-2.3333,7.3333,1956,2018,"Climate",28.9600625787667,71.0399374212333,23,27.2311212814645,72.7688787185355,""
"Wenchi","01018WEN","Wenchi Municipal",-2.1,7.75,1952,2023,"Synoptic",91.326336603544,8.67366339645599,70,91.326336603544,8.67366339645599,""
"Sunyani","01032SUN","Sunyani Minicipal",-2.3299,7.3592,1976,2023,"Synoptic",97.068218115446,2.93178188455397,49,97.068218115446,2.93178188455397,""
"Tuna","02003TUN","Sawla-Tuna-Kalba",-2.4167,9.4833,2004,2021,"Agromet",58.7832699619772,41.2167300380228,18,55.6916426512968,44.3083573487032,""
"Funsi","02008FUN","Wa East",-1.9833,10.2833,2008,2013,"Rainfall",81.7518248175183,18.2481751824817,7,32.70669830261,67.29330169739,""
"Tumu","02010TUM","Tumu",-1.9833,10.8667,2009,2014,"Rainfall",95.8010041077134,4.19899589228663,7,41.0522198318013,58.9477801681987,""
"Manga Bawku","04001MAN","Bawku Municipal",-0.2667,11.0167,1955,2022,"Climate",83.1381568139682,16.8618431860318,55,83.1381568139682,16.8618431860318,""
"Pusiga","04002PUS","Pusiga",-0.1167,11.0833,1955,1976,"Rainfall",48.6809357889497,51.3190642110503,15,15.7506945283247,84.2493054716753,""
"Bolgatanga","04003BOL","Bolgatanga Municipal",-0.85,10.7833,2012,2021,"Agromet",77.4979468929647,22.5020531070353,11,70.4579392732703,29.5420607267297,""
"Navrongo","04003NAV","Kassena- Nankana",-1.0832,10.8784,1947,2023,"Synoptic",93.5642156165553,6.43578438344474,75,93.5642156165553,6.43578438344474,""
"Zawse Bawku","04003ZAW","Bawku Municipal",-0.3,11.05,1953,1965,"Agromet",70.7455770850885,29.2544229149115,14,13.1380294911409,86.8619705088591,""
"Pong Tamale","04005PON","Savelugu-Nanton",-0.8333,9.6667,1953,2017,"Climate",46.3712564761383,53.6287435238617,40,43.0594125239567,56.9405874760433,""
"Zuarungu","04015ZUA","Bolga East",-0.8,10.7833,1958,2017,"Agromet",66.0506502395619,33.9493497604381,47,60.9704730213555,39.0295269786445,""
"Vea","04026VEA","Na",-0.85,10.8667,1972,2022,"Agromet",84.3676186386085,15.6323813613915,49,84.3676186386085,15.6323813613915,""
"Bolgatanga","04027BOL","Bolgatanga Municipal",-0.8667,10.8,1975,2022,"Agromet",87.8621948437143,12.1378051562857,49,87.8621948437143,12.1378051562857,""
"Kugri","04029KUG","Garu Tempane",-0.2833,10.7667,1990,2012,"Agromet",91.66765861207,8.33234138793001,24,63.8928067700987,36.1071932299013,""
"Binduri","04030BIN","Binduri",-0.3,10.95,1976,2017,"Agromet",75.5361449709928,24.4638550290072,38,67.5016019106425,32.4983980893575,""
"Garu","04031GAR","Garu-Tempane",-0.1833,10.85,1976,2021,"Agromet",80.121414117367,19.878585882633,44,78.4178947981593,21.5821052018407,""
"Walewale","06013WAL","Mamprusi West Municipal",-0.8,10.35,1972,2017,"Climate",29.645280323771,70.354719676229,24,26.739317156968,73.260682843032,""
"Nasia","06025NAS","Gazeb",-0.8,10.15,1971,1979,"Climate",90.2646790386371,9.73532096136294,10,15.6215447796557,84.3784552203443,""
"Akaa","07000AKA","Jasikan",0.4,7.4333,1956,1997,"Climate",90.6199074375856,9.38009256241445,43,56.8077803203661,43.1922196796339,""
"Bole","07000BOL","Bole",-2.4833,9.0333,1961,2023,"Synoptic",80.0651890482399,19.9348109517601,54,80.0651890482399,19.9348109517601,""
"Akuse","07003AKU","Yilo Krobo",0.1193,6.0945,1960,2023,"Synoptic",86.2808008213552,13.7191991786448,61,86.2808008213552,13.7191991786448,""
"Salaga","07003SAL","Salaga",-0.5167,8.55,1953,2018,"Climate",51.7008213722725,48.2991786277275,43,48.7464309461415,51.2535690538585,""
