"StationName","ID","District","lon","lat","StartYear","EndYear","Type","% Available","% missing","Number of Years","% Available 2022","% missing 2022","Remarks"
"Abetifi","14067ABE","Kwahu East",-0.7472,6.6803,1981,2023,"Synoptic",90.1878382680675,9.81216173193251,42,90.1878382680675,9.81216173193251,""
"Abetifi-Kwahu","14042ABE","Kwahu East",-0.7472,6.6803,1964,2018,"Climate",24.6403504405396,75.3596495594604,17,22.969837587007,77.030162412993,""
"Aboso","18039ABO","Prestea-Huni Valley",-1.9667,5.3667,1953,1965,"Climate",61.9621342512909,38.0378657487091,9,15.5446007700335,84.4553992299665,""
"Aboso","18039ABO","Prestea-Huni Valley",-1.95,5.35,1953,1965,"Rainfall",61.9621342512909,38.0378657487091,9,15.5446007700335,84.4553992299665,""
"Aburi","23029ABU","Akuapem South",-0.1743,5.8513,1979,2012,"Agromet",98.7826228573755,1.21737714262449,35,85.9958175309255,14.0041824690745,""
"Aburi","23029ABU","Akuapem South",-0.1667,5.85,1979,2012,"Climate",98.7826228573755,1.21737714262449,35,85.9958175309255,14.0041824690745,""
"Achimota","23005ACH","Ayawaso East",-0.2167,5.6167,1953,1971,"Climate",84.3925637699957,15.6074362300043,20,22.904525364728,77.095474635272,""
"Achimota","23082ACH","Ayawaso East",-0.2167,5.6167,1964,2018,"Climate",15.067947633033,84.932052366967,14,14.046403712297,85.953596287703,""
"Ada","23002ADA","Dangme East",0.622,5.7777,1951,2021,"Synoptic",88.8906027069757,11.1093972930243,68,87.6568560346794,12.3431439653206,""
"Adidome","07062ADI","Central Tongu",0.5167,6.0667,1964,2015,"Agromet",39.6251250460696,60.3748749539304,30,34.92343387471,65.07656612529,""
"Adubia Manso","17027EDU","Amansie West",-1.95,6.4,2002,2007,"Agromet",33.7745321770881,66.2254678229119,5,9.64797913950456,90.3520208604954,""
"Afienya","23071AFI","Ningo Prampram",0.0167,5.8,1972,2019,"Agromet",76.4202600958248,23.5797399041752,43,71.9239853983251,28.0760146016749,""
"Afife-Weta","23067AFI","Ketu North",0.9167,6.0833,1972,2011,"Agromet",54.6680355920602,45.3319644079398,27,42.8763152243934,57.1236847756066,""
"Agogo","20003AGO","Asante Akim North",-1.0833,6.7833,1963,2009,"Climate",78.3829440205045,21.6170559794955,41,61.4008669860826,38.5991330139174,""
"Agona Swedru","23038AGO","Agona West",-0.7,5.5167,1963,1970,"Climate",89.2057761732852,10.7942238267148,9,20.1442954387967,79.8557045612033,""
"Agona Swedru","23038AGO","Agona West",-0.7,5.5167,1963,1970,"Rainfall",89.2057761732852,10.7942238267148,9,20.1442954387967,79.8557045612033,""
"Agona Swedru","23066AGO","Agona West",-0.7,5.5167,1970,2022,"Climate",89.9524744291766,10.0475255708234,54,89.9524744291766,10.0475255708234,""
"Ahunda Adaklu","07031AHU","Adaklu",0.55,6.3,1963,2005,"Climate",69.2092194065962,30.7907805934038,37,49.6007300935432,50.3992699064568,""
"Akaa","07000AKA","Jasikan",0.4,7.4333,1956,1997,"Climate",79.5254546639724,20.4745453360276,39,49.852893102321,50.147106897679,""
"Akatsi","15076AKA","Akatsi South",0.8,6.1167,1976,2022,"Synoptic",86.8759829906215,13.1240170093785,44,86.8759829906215,13.1240170093785,""
"Akatsi School","15051AKA","Akatsi South",0.8008,6.1256,1971,1983,"Agromet",59.3934288121314,40.6065711878686,11,14.8475754225241,85.1524245774759,""
"Akim Oda","21088ODA","Birim Central",-0.9784,5.9293,1972,2022,"Synoptic",88.3293966072579,11.6706033927421,51,88.3293966072579,11.6706033927421,""
"Akokoaso","19001AKO","Akyem Mansa",-1.0667,6.15,1974,2010,"Agromet",78.8071629421341,21.1928370578659,35,59.5071799742974,40.4928200257026,""
"Akosombo","07059AKO","Asuogyaman",0.05,6.3,1963,2020,"Agromet",89.917394382818,10.082605617182,59,86.922199406799,13.077800593201,""
"Akrokerri","17021AKR","Adansi North",-1.6333,6.3,2012,2020,"Climate",61.1922141119221,38.8077858880779,10,50.0746640119462,49.9253359880538,""
"Akrokerri","17040AKR","Adansi North",-1.65,6.2999,1963,2018,"Climate",62.9754571233011,37.0245428766989,43,58.777093315081,41.222906684919,""
"Akropong Akwapim","10062AKR","Akwapem North",-0.0833,5.9667,1995,2000,"Climate",84.7171532846715,15.2828467153285,7,18.1578175418011,81.8421824581989,""
"Akropong Akwapim","14062AKR","Akwapem North",-0.0833,5.9667,1963,2006,"Climate",89.7579491008649,10.2420508991351,43,65.8224960073009,34.1775039926991,""
"Akropong Wassaw","18002WAS","Akwapem North",-2.0833,5.7833,2001,2005,"Agromet",76.6703176341731,23.3296823658269,6,17.4237710018668,82.5762289981332,""
"Akuse","07003AKU","Yilo Krobo",0.1193,6.0945,1960,2020,"Synoptic",87.7474081055608,12.2525918944392,58,84.9637130068228,15.0362869931772,""
"Amankwakrom","07024AMA","Kwahu Afram Plains North",0.0167,7.05,1966,1986,"Agromet",53.7310606060606,46.2689393939394,15,23.9318402294487,76.0681597705513,""
"Amankwakrom","07024AMA","Kwahu Afram Plains North",0.0167,7.05,1966,1986,"Climate",53.7310606060606,46.2689393939394,15,23.9318402294487,76.0681597705513,""
"Amedzofe","07060AME","Ho West",0.4333,6.85,1963,2010,"Climate",81.8617385352498,18.1382614647502,47,65.4893908281999,34.5106091718001,""
"Amelorkope","07032AME","Central Tongu",0.5833,6.1167,1956,1968,"Climate",81.9990745025451,18.0009254974549,14,24.9867804138612,75.0132195861388,""
"Amelorkope","07032AME","Central Tongu",0.5833,6.1167,1956,1968,"Rainfall",81.9990745025451,18.0009254974549,14,24.9867804138612,75.0132195861388,""
"Amentia","19022AME","Asante Akim South",-1.1667,6.2167,1955,1981,"Climate",43.469884404786,56.530115595214,18,17.2605387124049,82.7394612875951,""
"Ampaam New","14051AMP","Kwahu South",-0.3333,6.6167,1978,1985,"Agromet",87.6112251882272,12.3887748117728,9,15.5755658311025,84.4244341688975,""
"Anyinasi","23013AIY","Nzema East",-2.4667,5.0333,1953,2011,"Agromet",65.2095224836419,34.7904775163581,42,54.9614737747878,45.0385262252122,""
"Apam","23061APA","Gomoa West",-0.7333,5.2833,1963,2016,"Climate",84.3845061853579,15.6154938146421,53,75.9479808350445,24.0520191649555,""
"Asamankese","23018ASA","West Akim",-0.6667,5.8667,1952,2012,"Climate",85.9297159014407,14.0702840985593,61,73.8287124513169,26.1712875486831,""
