"StationName","ID","District","lon","lat","StartYear","EndYear","Type","% Available","% missing","Number of Years","% Available 2022","% missing 2022","Remarks"
"Babile","01000BAB","Jirapa",-2.8167,10.5167,1948,2014,"Agromet",70.0882641386074,29.9117358613926,57,62.6122508578521,37.3877491421479,""
"Kintampo","01000KIN","Kintampo North Municipal",-1.7167,8.05,1955,2019,"Agromet",49.863106019123,50.136893980877,40,47.6627612030438,52.3372387969562,""
"Bui","01001BUI","Banda",-2.2667,8.2833,1954,2006,"Agromet",91.3730757309639,8.62692426903607,53,70.1849059598445,29.8150940401555,""
"Damongo","01001DAM","West Gonja",-1.8167,9.0667,1954,2019,"Rainfall",88.2858393420719,11.7141606579281,60,86.1116728457477,13.8883271542523,""
"Damongo","01001DAM","West Gonja",-1.8167,9.0667,1954,2019,"Climate",88.2858393420719,11.7141606579281,60,86.1116728457477,13.8883271542523,""
"Berekum","01005BER","Berekum Municipal",-2.5833,7.45,1956,2017,"Climate",61.7415879183962,38.2584120816038,45,57.1346845374305,42.8653154625695,""
"Mole","01007MOL","West Gonja",-2.038,9.5069,1973,1976,"Climate",70.1574264202601,29.8425735797399,5,5.61274778228014,94.3872522177199,""
"Wa","01013WA-","Wa Municipal",-2.5,10.05,1952,2022,"Synoptic",96.3984112906336,3.60158870936644,72,96.3984112906336,3.60158870936644,""
"Sampa","01014SAM","Sampa",-2.7,7.95,2002,2011,"Rainfall",18.0449069003286,81.9550930996714,5,8.59191655801825,91.4080834419817,""
"Sunyani","01017SUN","Sunyani Minicipal",-2.3333,7.3333,1956,2018,"Climate",22.1415844596063,77.8584155403937,20,20.819712324289,79.180287675711,""
"Wenchi","01018WEN","Wenchi Municipal",-2.1,7.75,1952,2023,"Synoptic",93.1325576089436,6.86744239105636,72,93.1325576089436,6.86744239105636,""
"Sunyani","01032SUN","Sunyani Minicipal",-2.3299,7.3592,1976,2023,"Synoptic",97.3762263289984,2.6237736710016,49,97.3762263289984,2.6237736710016,""
"Tuna","02003TUN","Sawla-Tuna-Kalba",-2.4167,9.4833,2004,2014,"Agromet",22.7725236436038,77.2274763563962,7,13.1844380403458,86.8155619596542,""
"Funsi","02008FUN","Wa East",-1.9833,10.2833,2008,2009,"Rainfall",37.2093023255814,62.7906976744186,3,4.96440956378901,95.035590436211,""
"Tumu","02010TUM","Tumu",-1.9833,10.8667,2012,2012,"Rainfall",8.19672131147541,91.8032786885246,2,0.746640119462419,99.2533598805376,""
"Manga Bawku","04001MAN","Bawku Municipal",-0.2667,11.0167,1955,2022,"Climate",74.6468251973254,25.3531748026746,49,74.6468251973254,25.3531748026746,""
"Pusiga","04002PUS","Pusiga",-0.1167,11.0833,1955,1994,"Rainfall",42.7789185489391,57.2210814510609,24,25.16406973467,74.8359302653299,""
"Bolgatanga","04003BOL","Bolgatanga Municipal",-0.85,10.7833,2012,2021,"Agromet",70.8185053380783,29.1814946619217,10,64.3852663016426,35.6147336983574,""
"Navrongo","04003NAV","Kassena- Nankana",-1.0832,10.8784,1947,2023,"Synoptic",93.5357701607168,6.46422983928318,75,93.5357701607168,6.46422983928318,""
"Zawse Bawku","04003ZAW","Bawku Municipal",-0.3,11.05,1953,1965,"Agromet",80.6234203875316,19.3765796124684,14,14.972425392107,85.027574607893,""
"Pong Tamale","04005PON","Savelugu-Nanton",-0.8333,9.6667,1953,2011,"Climate",57.4783052577846,42.5216947422154,39,48.4452614698635,51.5547385301365,""
"Zuarungu","04015ZUA","Bolga East",-0.8,10.7833,1958,2022,"Agromet",66.4251716439914,33.5748283560086,50,66.4251716439914,33.5748283560086,""
"Vea","04026VEA","Na",-0.85,10.8667,1972,2022,"Agromet",84.3890916899291,15.6109083100709,49,84.3890916899291,15.6109083100709,""
"Bolgatanga","04027BOL","Bolgatanga Municipal",-0.8667,10.8,1975,2022,"Agromet",84.9874515172256,15.0125484827744,49,84.9874515172256,15.0125484827744,""
"Kugri","04029KUG","Garu Tempane",-0.2833,10.7667,1990,2012,"Agromet",91.66765861207,8.33234138793001,24,63.8928067700987,36.1071932299013,""
"Binduri","04030BIN","Binduri",-0.3,10.95,1976,2017,"Agromet",79.6688612215631,20.3311387784369,39,71.1947340828333,28.8052659171667,""
"Garu","04031GAR","Garu-Tempane",-0.1833,10.85,1976,2021,"Agromet",79.0977264611356,20.9022735388644,43,77.4159725053882,22.5840274946118,""
"Walewale","06013WAL","Mamprusi West Municipal",-0.8,10.35,1972,2017,"Climate",40.47732412808,59.52267587192,25,36.5095555078377,63.4904444921623,""
"Nasia","06025NAS","Gazeb",-0.8,10.15,1969,1980,"Climate",78.4850558977869,21.5149441022131,13,17.4415656847336,82.5584343152664,""
"Akaa","07000AKA","Jasikan",0.4,7.4333,1956,1997,"Climate",79.7079721009061,20.2920278990939,39,49.9673095782936,50.0326904217064,""
"Bole","07000BOL","Bole",-2.4833,9.0333,1961,2023,"Synoptic",79.774011299435,20.225988700565,54,79.774011299435,20.225988700565,""
"Akuse","07003AKU","Yilo Krobo",0.1193,6.0945,1960,2023,"Synoptic",84.2830253251198,15.7169746748802,60,84.2830253251198,15.7169746748802,""
"Salaga","07003SAL","Salaga",-0.5167,8.55,1953,2019,"Climate",44.7999673082424,55.2000326917576,39,42.8794930965698,57.1205069034302,""
"Kpong","07006KPO","Kpone Katamanso",0.0667,6.15,1956,2023,"Agromet",70.7457177761027,29.2542822238973,45,70.7457177761027,29.2542822238973,""
"Tamale","07006TLE","Tamale Metropolitan",-0.8624,9.5539,1960,2023,"Synoptic",92.0431211498973,7.95687885010267,65,92.0431211498973,7.95687885010267,""
"Chinderi","07007CHI","Krachi Nchumuru",-0.1333,8.15,1964,1966,"Rainfall",98.2664233576642,1.73357664233576,3,9.51161352998322,90.4883864700168,""
"Chinderi","07007CHI","Krachi Nchumuru",-0.1333,8.15,1964,1966,"Climate",98.2664233576642,1.73357664233576,3,9.51161352998322,90.4883864700168,""
"Kete-Krachi","07008KRA","Krachi West",-0.0333,7.8167,1956,2018,"Synoptic",97.170918256486,2.82908174351397,64,91.3697286694998,8.63027133050016,""
"Mankango","07012MAN","North East Gonja",-0.6,8.3333,1973,1979,"Agromet",75.6259780907668,24.3740219092332,8,10.5848209396561,89.4151790603439,""
"Nyankpala","07012NYA","Tolon",-0.9667,9.4,1952,2008,"Climate",59.8460141882124,40.1539858117876,33,51.0672481064953,48.9327518935047,""
"Nyankpala","07012NYA","Tolon",-0.9667,9.4,1952,2008,"Agromet",59.8460141882124,40.1539858117876,33,51.0672481064953,48.9327518935047,""
"Hohoe","07016HOH","Hohoe Municipal",0.4833,7.15,1963,2003,"Climate",89.8230383973289,10.1769616026711,41,61.3780515628565,38.6219484371435,""
"Ho","07017HO-","Ho Municipal",0.4667,6.6,1956,2023,"Synoptic",95.5509924709103,4.44900752908967,69,95.5509924709103,4.44900752908967,""
"Kpando","07017KPA","Kpando Municipal",0.2833,7,1963,2012,"Agromet",87.6891022737567,12.3108977262433,47,78.9795751856183,21.0204248143817,""
"Kpando","07017KPA","Kpando Municipal",0.2833,7,1963,2012,"Climate",87.6891022737567,12.3108977262433,47,78.9795751856183,21.0204248143817,""
"Amankwakrom","07024AMA","Kwahu Afram Plains North",0.0167,7.05,1966,1986,"Climate",53.7310606060606,46.2689393939394,15,23.9318402294487,76.0681597705513,""
"Amankwakrom","07024AMA","Kwahu Afram Plains North",0.0167,7.05,1966,1986,"Agromet",53.7310606060606,46.2689393939394,15,23.9318402294487,76.0681597705513,""
"Kpeve","07026KPE","South Dayi",0.3333,6.6833,1953,2017,"Agromet",83.9902794653706,16.0097205346294,55,80.4216306775875,19.5783693224125,""
"Somanya","07028SOM","Yilo Krobo",-0.0167,6.1,1957,1975,"Climate",72.2006052745352,27.7993947254648,19,20.7832075002074,79.2167924997926,""
"Ahunda Adaklu","07031AHU","Adaklu",0.55,6.3,1963,2005,"Climate",81.26495215311,18.73504784689,37,65.9567367494918,34.0432632505082,""
"Amelorkope","07032AME","Central Tongu",0.5833,6.1167,1956,1968,"Rainfall",81.9990745025451,18.0009254974549,14,24.9867804138612,75.0132195861388,""
"Amelorkope","07032AME","Central Tongu",0.5833,6.1167,1956,1968,"Climate",81.9990745025451,18.0009254974549,14,24.9867804138612,75.0132195861388,""
"Aveyime","07034AVE","North Tongu",0.3667,6.0333,1963,2018,"Agromet",79.2998924415762,20.7001075584238,52,74.0132329454711,25.9867670545289,""
"Kpedzeglo Mafi","07037KPE","Hohoe",0.55,6.2333,2012,2022,"Climate",68.1433549029368,31.8566450970632,12,68.1433549029368,31.8566450970632,""
"Somanya","07053SOM","Yilo Krobo",-0.0167,6.1,1972,2019,"Climate",89.0143737166324,10.9856262833676,48,83.7771097272922,16.2228902727078,""
"Tsito","07055TSI","Tsito",0.2833,6.5333,1974,2017,"Climate",40.1968093037125,59.8031906962875,17,36.8524171868593,63.1475828131407,""
"Akosombo","07059AKO","Asuogyaman",0.05,6.3,1963,2020,"Agromet",90.9322633939108,9.06773660608921,59,87.9032626055213,12.0967373944787,""
"Mem Chemfere","07059MEM","Kwahu Afram Plains North",-0.05,6.95,1966,1976,"Rainfall",57.1629213483146,42.8370786516854,9,14.4730408498911,85.5269591501089,""
"Mem Chemfere","07059MEM","Kwahu Afram Plains North",-0.05,6.95,1966,1976,"Climate",57.1629213483146,42.8370786516854,9,14.4730408498911,85.5269591501089,""
"Amedzofe","07060AME","Ho West",0.4333,6.85,1963,2010,"Climate",81.8617385352498,18.1382614647502,47,65.4893908281999,34.5106091718001,""
"Boso","07061BOS","Asuogyaman",0.1667,6.55,1972,2015,"Climate",96.0080033562462,3.99199664375384,45,88.6894824707846,11.3105175292154,""
"Boso","07061BOS","Asuogyaman",0.17,6.5464,1972,2015,"Climate",96.0080033562462,3.99199664375384,45,88.6894824707846,11.3105175292154,""
"Adidome","07062ADI","Central Tongu",0.5167,6.0667,1964,2015,"Agromet",39.6251250460696,60.3748749539304,30,34.92343387471,65.07656612529,""
"Asutsuare","07063ASU","Asutuare",0.1833,6.0667,1977,2017,"Agromet",37.8564273789649,62.1435726210351,21,33.7420391643355,66.2579608356645,""
"Asutsuare","07070ASU","Asutuare",0.1963,6.0757,1972,1981,"Agromet",92.5540651519299,7.44593484807008,11,18.1500966287309,81.8499033712691,""
"Botoku","07073BOT","North Dayi",0.2667,6.75,1999,2009,"Climate",32.8272772523644,67.1727227476356,8,15.0467716176135,84.9532283823865,""
"Ogoli","07074OGO","Asuogyaman",0.1,6.1833,1973,1976,"Rainfall",70.7734428473648,29.2265571526352,5,5.66203044573431,94.3379695542657,""
"Asante Krom (Dodi)","07075ASA","Asuogyaman",0.15,6.5333,1974,2010,"Agromet",88.4490158354299,11.5509841645701,38,66.7877297871152,33.2122702128848,""
"Kpandae","08002KPA","Kpandai",-0.0167,8.4333,1953,2005,"Climate",20.5703068498812,79.4296931501188,20,15.574764344663,84.425235655337,""
"Yendi","08010YDI","Yendi",-0.0167,9.45,1951,2023,"Synoptic",95.4393729137756,4.56062708622436,74,95.4393729137756,4.56062708622436,""
"Zongo Macheri","08011ZON","Krachi Nchumuru",-0.1167,8.25,1967,1993,"Climate",52.2612046238086,47.7387953761914,19,25.1980052801408,74.8019947198592,""
"Krachi Nkwanta","09003KRA","Krachi West",0.5,8.2667,1975,2008,"Climate",72.1617737630877,27.8382262369123,25,57.1614424523316,42.8385575476684,""
"Krachi Nkwanta","09003KRA","Krachi West",0.5167,8.2667,1975,2008,"Climate",72.1617737630877,27.8382262369123,25,57.1614424523316,42.8385575476684,""
"Kpedze","09005KPE","Ho-West",0.0333,7.9333,2004,2020,"Climate",53.9291465378422,46.0708534621578,14,48.2564841498559,51.7435158501441,""
"Akropong Akwapim","10062AKR","Akwapem North",-0.0833,5.9667,1995,2000,"Climate",84.7171532846715,15.2828467153285,7,18.1578175418011,81.8421824581989,""
"Atebubu","11002ATE","Atebubu-Amantin Municipal",-0.9833,7.75,1956,2014,"Climate",93.344487365598,6.65551263440199,57,87.0836680821761,12.9163319178239,""
"Prang","11006PRA","Pru East",-0.8833,7.9833,1964,2013,"Climate",88.725222767776,11.274777232224,47,80.6868608913757,19.3131391086243,""
"Donkorkrom","13000DON","Kwahu North",-0.1,7.05,1995,2009,"Climate",49.4615805803979,50.5384194196021,12,26.4984844040285,73.5015155959715,""
"Ejura","14004EJU","Ejura Sekyedumase",-1.3667,7.3833,1958,2010,"Climate",94.0702305276863,5.92976947231371,49,86.7870201904224,13.2129798095776,""
"Ejura","14004EJU","Ejura Sekyedumase",-1.3667,7.3833,1958,2010,"Agromet",94.0702305276863,5.92976947231371,49,86.7870201904224,13.2129798095776,""
"Tafo Kwahu","14008TAF","Kwahu South",-0.6667,6.65,1963,2006,"Climate",70.5660528743932,29.4339471256068,30,57.1642130577492,42.8357869422508,""
"Ashanti-Mampong","14009MAM","Mampong",-1.4,7.0667,1963,2020,"Climate",96.5686632134432,3.43133678655676,59,94.8842321569377,5.11576784306229,""
"Begoro","14014BEG","Fanteakwa",-0.3833,6.3833,1964,2007,"Climate",88.8965422234467,11.1034577765533,41,74.7848761408083,25.2151238591917,""
"Huhunya","14039HAV","Yilo Krobo Municipal",-0.1667,6.1667,2011,2019,"Agromet",2.76848189838759,97.2315181016124,3,2.07620351357518,97.9237964864248,""
"Huhunya","14039HUH","Yilo Krobo Municipal",-0.1667,6.1667,1964,2022,"Agromet",60.9048723897912,39.0951276102088,44,60.9048723897912,39.0951276102088,""
"Abetifi-Kwahu","14042ABE","Kwahu East",-0.7472,6.6803,1964,2018,"Climate",24.6403504405396,75.3596495594604,17,22.969837587007,77.030162412993,""
"Mpraeso","14044MPR","Kwahu South",-0.7333,6.5833,1963,2011,"Climate",78.1360004470023,21.8639995529977,44,63.8101756787588,36.1898243212412,""
