"Station","Start","End","Dist","Type"
"Abetifi-Kwahu_14042ABE",1964,2018,"Kwahu East","Climate"
"Abetifi_14067ABE",1981,2023,"Kwahu East","Synoptic"
"Aboso_18039ABO.1",1953,1965,"Prestea-Huni Valley","Climate"
"Aboso_18039ABO.2",1953,1965,"Prestea-Huni Valley","Rainfall"
"Aburi_23029ABU.1",1979,2012,"Akuapem South","Agromet"
"Aburi_23029ABU.2",1979,2012,"Akuapem South","Climate"
"Achimota_23005ACH",1953,1971,"Ayawaso East","Climate"
"Achimota_23082ACH",1964,2018,"Ayawaso East","Climate"
"Ada_23002ADA",1951,2021,"Dangme East","Synoptic"
"Adidome_07062ADI",1964,2015,"Central Tongu","Agromet"
"Adubia Manso_17027EDU",2002,2007,"Amansie West","Agromet"
"Afienya_23071AFI",1972,2019,"Ningo Prampram","Agromet"
"Afife-Weta_23067AFI",1972,2011,"Ketu North","Agromet"
"Agogo_20003AGO",1963,2009,"Asante Akim North","Climate"
"Agona Swedru_23038AGO.1",1963,1970,"Agona West","Climate"
"Agona Swedru_23038AGO.2",1963,1970,"Agona West","Rainfall"
"Agona Swedru_23066AGO",1970,2022,"Agona West","Climate"
"Ahunda Adaklu_07031AHU",1963,2005,"Adaklu","Climate"
"Akaa_07000AKA",1956,1997,"Jasikan","Climate"
"Akatsi School_15051AKA",1971,1983,"Akatsi South","Agromet"
"Akatsi_15076AKA",1976,2022,"Akatsi South","Synoptic"
"Akim Oda_21088ODA",1972,2022,"Birim Central","Synoptic"
"Akokoaso_19001AKO",1974,2010,"Akyem Mansa","Agromet"
"Akosombo_07059AKO",1963,2020,"Asuogyaman","Agromet"
"Akrokerri_17021AKR",2012,2020,"Adansi North","Climate"
"Akrokerri_17040AKR",1963,2018,"Adansi North","Climate"
"Akropong Akwapim_10062AKR",1995,2000,"Akwapem North","Climate"
"Akropong Akwapim_14062AKR",1963,2006,"Akwapem North","Climate"
"Akropong Wassaw_18002WAS",2001,2005,"Akwapem North","Agromet"
"Akuse_07003AKU",1960,2020,"Yilo Krobo","Synoptic"
"Amankwakrom_07024AMA.1",1966,1986,"Kwahu Afram Plains North","Agromet"
"Amankwakrom_07024AMA.2",1966,1986,"Kwahu Afram Plains North","Climate"
"Amedzofe_07060AME",1963,2010,"Ho West","Climate"
"Amelorkope_07032AME.1",1956,1968,"Central Tongu","Climate"
"Amelorkope_07032AME.2",1956,1968,"Central Tongu","Rainfall"
"Amentia_19022AME",1955,1981,"Asante Akim South","Climate"
"Ampaam New_14051AMP",1978,1985,"Kwahu South","Agromet"
"Anyinasi_23013AIY",1953,2011,"Nzema East","Agromet"
"Apam_23061APA",1963,2016,"Gomoa West","Climate"
"Asamankese_23018ASA",1952,2012,"West Akim","Climate"
"Asante Krom (Dodi)_07075ASA",1974,2010,"Asuogyaman","Agromet"
"Asebu_23007ASE",1964,1982,"Abura Asebu Kwamankese","Climate"
"Asesewa_14045ASE",1975,2006,"Upper Manya","Agromet"
"Ashanti-Mampong_14009MAM",1963,2020,"Mampong","Climate"
"Ashiaman_23085ASH",1968,1982,"Ashaiman","Agromet"
"Assin Foso_20009FOS",1956,2020,"Assin Fosu","Climate"
"Assin Nyankumasi_20009ASS",1956,1956,"Assin Nyankomase","Climate"
"Asuansi_23011ASU",1953,2016,"Abura Asebu Kwamankese","Climate"
"Asutsuare_07063ASU",1977,2017,"Asutuare","Agromet"
"Asutsuare_07070ASU",1972,1981,"Asutuare","Agromet"
"Atebubu_11002ATE",1956,2014,"Atebubu-Amantin Municipal","Climate"
"Atieku_18026ATI",1972,2004,"Wassa East","Climate"
